Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
102,15.54335260115607,71.0,71.0,128.68,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
103,15.54335260115607,71.0,71.0,129.9,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
104,15.54335260115607,71.0,71.0,140.25,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
105,15.54335260115607,71.0,71.0,136.30434782608697,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
106,15.54335260115607,71.0,71.0,141.70731707317074,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
107,15.54335260115607,71.0,71.0,114.04545454545455,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
108,15.54335260115607,71.0,71.0,103.02564102564102,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
109,15.54335260115607,71.0,71.0,138.7906976744186,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
110,15.54335260115607,71.0,71.0,130.725,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
111,15.54335260115607,71.0,71.0,115.34146341463415,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
112,15.54335260115607,71.0,71.0,126.44186046511628,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
113,15.54335260115607,71.0,71.0,118.60526315789474,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
114,15.54335260115607,71.0,71.0,136.0681818181818,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
115,15.54335260115607,71.0,71.0,131.8372093023256,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
116,15.54335260115607,71.0,71.0,102.725,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
117,15.54335260115607,71.0,71.0,135.26190476190476,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
118,15.54335260115607,71.0,71.0,120.4888888888889,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
119,15.54335260115607,71.0,71.0,116.60526315789474,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
120,15.54335260115607,71.0,71.0,114.0,"[[10, 7, 15], [2, 3, 6], [12, 11, 10, 13, 14], [15, 9], [2, 1], [7, 15, 8, 6, 4, 5]]"
