Generation,Best CP,Best CO,Best Score,Mean Score,Routes
58,12.321772639691714,99.0,229423.5,266979.6,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
59,12.321772639691714,99.0,229423.5,301479.9418604651,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
60,12.321772639691714,99.0,229423.5,276863.6666666667,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
61,12.321772639691714,99.0,229423.5,303840.2625,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
62,12.321772639691714,99.0,229423.5,296830.07608695654,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
63,12.321772639691714,99.0,229423.5,277595.7375,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
64,12.321772639691714,99.0,229423.5,283984.1785714286,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
65,12.321772639691714,99.0,229423.5,305740.88372093026,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
66,12.321772639691714,99.0,229423.5,293067.65853658534,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
67,12.321772639691714,99.0,229423.5,262858.0125,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
