Generation,Best CP,Best CO,Best CP_Score,Mean CP_Score,Routes
43,10.280667951188182,263.0,10.280667951188182,11.504214017013354,"[[13, 11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
44,10.279383429672446,284.0,10.279383429672446,11.800591415114534,"[[11, 10, 7, 15, 6, 3, 2, 1], [13, 14, 10, 11, 12, 4, 6, 15, 7, 10, 13], [10, 11, 13, 14, 10, 7, 15, 9], [14, 10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [13, 10, 8, 6, 4, 5, 2, 1]]"
45,10.277456647398845,263.0,10.277456647398845,11.233649111539284,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
46,10.277456647398845,263.0,10.277456647398845,11.415359207266722,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
47,10.277456647398845,263.0,10.277456647398845,10.97907424833087,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
48,10.274887604367374,276.0,10.274887604367374,11.742634944570103,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
49,10.274887604367374,276.0,10.274887604367374,11.20314987015163,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
50,10.274887604367374,276.0,10.274887604367374,11.428024908547652,"[[11, 10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [10, 14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3], [10, 14, 13, 11, 12, 4, 5, 2, 3, 6, 4], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10, 11]]"
51,10.265253692999357,253.0,10.265253692999357,11.852922286448297,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
52,10.265253692999357,253.0,10.265253692999357,11.094999931674385,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
53,10.265253692999357,253.0,10.265253692999357,11.142363246286502,"[[10, 7, 15, 6, 3, 2, 1], [9, 15, 8, 6, 4, 5, 2, 1], [14, 13, 11, 10, 7, 15, 6, 4, 5, 2, 3, 6], [10, 13, 11, 12, 4, 2, 1], [8, 6, 3, 2, 5, 4, 12, 11, 10, 8, 15, 9], [1, 2, 4, 6, 8, 10, 11, 13, 14, 10]]"
