Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
51,15.272318561335902,75.0,75.0,150.6,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8], [4, 5], [6, 3], [2, 1], [15, 9]]"
52,15.272318561335902,75.0,75.0,144.9375,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8], [4, 5], [6, 3], [2, 1], [15, 9]]"
53,15.272318561335902,75.0,75.0,143.30612244897958,"[[5, 2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [6, 8], [4, 5], [6, 3], [2, 1], [15, 9]]"
54,15.06422607578677,71.0,71.0,142.87755102040816,"[[2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [8, 6, 3], [2, 1], [15, 9]]"
55,15.430956968529223,70.0,70.0,119.02,"[[2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [3, 2], [2, 1], [7, 15, 9]]"
56,15.430956968529223,70.0,70.0,135.53191489361703,"[[2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [3, 2], [2, 1], [7, 15, 9]]"
57,15.430956968529223,70.0,70.0,156.72,"[[2, 4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [3, 2], [2, 1], [7, 15, 9]]"
58,15.611432241490045,68.0,68.0,128.59183673469389,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
59,15.611432241490045,68.0,68.0,135.36,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
60,15.611432241490045,68.0,68.0,129.44,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
61,15.611432241490045,68.0,68.0,132.27659574468086,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
